"phy.group","Lake","Source","Mean","SD","2.5.perc","5.perc","25.perc","50.perc","75.perc","95.perc","97.5.perc"
">350um",NA,"Plants","0.099","0.055","0.021","0.029","0.060","0.091","0.129","0.190","0.220"
"cladocera",NA,"Plants","0.108","0.071","0.009","0.014","0.055","0.099","0.149","0.228","0.261"
"copepoda",NA,"Plants","0.289","0.092","0.109","0.146","0.233","0.288","0.339","0.436","0.488"
">350um",NA,"POM","0.901","0.055","0.780","0.810","0.871","0.909","0.940","0.971","0.979"
"cladocera",NA,"POM","0.892","0.071","0.739","0.772","0.851","0.901","0.945","0.986","0.991"
"copepoda",NA,"POM","0.711","0.092","0.512","0.564","0.661","0.712","0.767","0.854","0.891"
">350um","Sunrise2","Plants","0.096","0.063","0.008","0.014","0.050","0.087","0.129","0.200","0.231"
">350um","Sunrise2","POM","0.904","0.063","0.769","0.800","0.871","0.913","0.950","0.986","0.992"
">350um","Blue","Plants","0.102","0.055","0.019","0.028","0.060","0.093","0.136","0.202","0.231"
">350um","Blue","POM","0.898","0.055","0.769","0.798","0.864","0.907","0.940","0.972","0.981"
">350um","EasternBrook","Plants","0.099","0.057","0.014","0.022","0.056","0.092","0.133","0.204","0.229"
">350um","EasternBrook","POM","0.901","0.057","0.771","0.796","0.867","0.908","0.944","0.978","0.986"
">350um","Lukens","Plants","0.070","0.048","0.006","0.009","0.034","0.061","0.099","0.162","0.184"
">350um","Lukens","POM","0.930","0.048","0.816","0.838","0.901","0.939","0.966","0.991","0.994"
">350um","Greenstone","Plants","0.097","0.065","0.008","0.016","0.051","0.087","0.130","0.205","0.237"
">350um","Greenstone","POM","0.903","0.065","0.763","0.795","0.870","0.913","0.949","0.984","0.992"
">350um","Granite2","Plants","0.093","0.054","0.012","0.019","0.053","0.086","0.126","0.191","0.222"
">350um","Granite2","POM","0.907","0.054","0.778","0.809","0.874","0.914","0.947","0.981","0.988"
">350um","MayPond","Plants","0.122","0.065","0.029","0.038","0.075","0.113","0.159","0.241","0.275"
">350um","MayPond","POM","0.878","0.065","0.725","0.759","0.841","0.887","0.925","0.962","0.971"
">350um","Cascade","Plants","0.119","0.073","0.014","0.025","0.066","0.107","0.158","0.260","0.296"
">350um","Cascade","POM","0.881","0.073","0.704","0.740","0.842","0.893","0.934","0.975","0.986"
"cladocera","Lukens","Plants","0.073","0.052","0.003","0.006","0.032","0.063","0.104","0.171","0.195"
"cladocera","Lukens","POM","0.927","0.052","0.805","0.829","0.896","0.937","0.968","0.994","0.997"
"cladocera","Blue","Plants","0.109","0.067","0.008","0.016","0.057","0.101","0.151","0.234","0.260"
"cladocera","Blue","POM","0.891","0.067","0.740","0.766","0.849","0.899","0.943","0.984","0.992"
"cladocera","Cascade","Plants","0.127","0.084","0.006","0.012","0.060","0.115","0.182","0.277","0.317"
"cladocera","Cascade","POM","0.873","0.084","0.683","0.723","0.818","0.885","0.940","0.988","0.994"
"cladocera","EasternBrook","Plants","0.110","0.078","0.006","0.011","0.050","0.097","0.157","0.260","0.297"
"cladocera","EasternBrook","POM","0.890","0.078","0.703","0.740","0.843","0.903","0.950","0.989","0.994"
"cladocera","Granite2","Plants","0.101","0.068","0.005","0.011","0.048","0.091","0.143","0.222","0.254"
"cladocera","Granite2","POM","0.899","0.068","0.746","0.778","0.857","0.909","0.952","0.989","0.995"
"copepoda","Lukens","Plants","0.210","0.091","0.031","0.056","0.147","0.213","0.271","0.354","0.383"
"copepoda","Lukens","POM","0.790","0.091","0.617","0.646","0.729","0.787","0.853","0.944","0.969"
"copepoda","MayPond","Plants","0.338","0.089","0.165","0.195","0.282","0.337","0.398","0.486","0.511"
"copepoda","MayPond","POM","0.662","0.089","0.489","0.514","0.602","0.663","0.718","0.805","0.835"
"copepoda","Blue","Plants","0.295","0.091","0.102","0.146","0.237","0.296","0.353","0.444","0.475"
"copepoda","Blue","POM","0.705","0.091","0.525","0.556","0.647","0.704","0.763","0.854","0.898"
"copepoda","EasternBrook","Plants","0.285","0.095","0.088","0.121","0.228","0.285","0.341","0.434","0.474"
"copepoda","EasternBrook","POM","0.715","0.095","0.526","0.566","0.659","0.715","0.772","0.879","0.912"
"copepoda","Granite2","Plants","0.273","0.100","0.056","0.096","0.212","0.277","0.340","0.432","0.468"
"copepoda","Granite2","POM","0.727","0.100","0.532","0.568","0.660","0.723","0.788","0.904","0.944"
